Meaning,Kanji,Kana,Lesson,Vocabulary_Kanji,Kanji＿Lesson
o'clock,〜時,〜じ,1,時,3
...yen,〜円,〜えん,2,円,3
sometimes,時々,ときどき,3,時,3
when...; at the time of...,時,とき,4,時,3
one thing,一つ,ひとつ,9,一,3
two things,二つ,ふたつ,9,二,3
three things,三つ,みっつ,9,三,3
four things,四つ,よっつ,9,四,3
five things,五つ,いつつ,9,五,3
six things,六つ,むっつ,9,六,3
seven things,七つ,ななつ,9,七,3
eight things,八つ,やっつ,9,八,3
nine things,九つ,ここのつ,9,九,3
ten,十,じゅう,9,十,3
people,〜人,〜じん,1,人,4
Japan,日本,にほん,1,日本,4
half,半,はん,1,半,4
book,本,ほん,2,本,4
water,水,みず,3,水,4
Saturday,土曜日,どようび,3,土曜日,4
Sunday,日曜日,にちようび,3,日曜日,4
person,人,ひと,4,人,4
Tuesday,火曜日,かようび,4,火曜日,4
Wednesday,水曜日,すいようび,4,水曜日,4
Thursday,木曜日,もくようび,4,木曜日,4
Friday,金曜日,きんようび,4,金曜日,4
alone,一人で,ひとりで,4,一人,4
inside,中,なか,4,中,4
on,上,うえ,4,上,4
under,下,した,4,下,4
Monday,月曜日,げつようび,4,月曜日,4
money,お金,おかね,6,金,4
one person,一人,ひとり,7,一人,4
two people,二人,ふたり,7,二人,4
for two to three days,二三日,にさんにち,12,二三日,4
one day,一日,いちにち,13,一日,4
two days,二日,ふつか,13,二日,4
three days,三日,みっか,13,三日,4
four days,四日,よっか,13,四日,4
five days,五日,いつか,13,五日,4
six days,六日,むいか,13,六日,4
seven days,七日,なのか,13,七日,4
eight days,八日,ようか,13,八日,4
nine days,九日,ここのか,13,九日,4
ten days,十日,とおか,13,十日,4
[counter for long objects],本,ぽん,14,本,4
to withdraw (money),下ろす,おろす,15,下,4
all day long,一日中,いちにちじゅう,15,一日中,4
day,日,ひ,16,日,4
honorific expression for くれる,下さる,くださる,19,下,4
moon,月,つき,20,月,4
tree,木,き,22,木,4
now,今,いま,1,今,5
I,私,わたし,1,私,5
today,今日,きょう,3,今日,5
to go,行く,いく,3,行,5
to drink,飲む,のむ,3,飲,5
to eat,食べる,たべる,3,食,5
to see; to look at; to watch,見る,みる,3,見,5
weather,天気,てんき,5,天気,5
